"Date","Transaction Status","Transaction type","Order ID","Product Details","Total product charges","Total promotional rebates","Amazon fees","Other","Total (INR)"
"3/12/2024","Released","Amazon Easy Ship Charges","407-2095994-4917151","Billing","0","0","-66.08","0","-66.08"
"2/12/2024","Released","Refund","408-5877974-1188310","Magnetic Cube Puzzle Fun Cube - Magic Cu...","-217.8","0","37.91","-38.11","-218"
"2/12/2024","Released","Order Payment","408-5877974-1188310","Magnetic Cube Puzzle Fun Cube - Magic Cu...","217.8","0","-37.91","38.11","218"
"1/12/2024","Released","Amazon Easy Ship Charges","405-5270755-6533122","Billing","0","0","-90.86","0","-90.86"
"29/11/2024","Released","Amazon Easy Ship Charges","408-4979183-9995522","Billing","0","0","-90.86","0","-90.86"
"29/11/2024","Released","Amazon Easy Ship Charges","406-7030947-4663541","Billing","0","0","-90.86","0","-90.86"
"29/11/2024","Released","Amazon Easy Ship Charges","404-7054832-8126717","Billing","0","0","-115.64","0","-115.64"
"29/11/2024","Released","Order Payment","405-5270755-6533122","Candy Flower Toy, Multicoloured Petals o...","182.2","0","-27.55","31.89","186.54"
"29/11/2024","Released","Order Payment","406-7030947-4663541","Metal Laser Light with 4 Images - 3D Las...","193.22","0","-28.93","33.81","198.1"
"29/11/2024","Released","Refund","404-7054832-8126717","Flying Ball Flyorb Magic Balls - Fly Orb...","-411.86","0","-17.5","-72.08","-501.44"
"29/11/2024","Released","Order Payment","404-7054832-8126717","Flying Ball Flyorb Magic Balls - Fly Orb...","411.86","0","-65.1","72.08","418.84"
"27/11/2024","Released","Amazon Easy Ship Charges","404-8815430-8683515","Billing","0","0","-90.86","0","-90.86"
"27/11/2024","Released","Amazon Easy Ship Charges","408-5877974-1188310","Billing","0","0","-66.08","0","-66.08"
"26/11/2024","Released","Cancellation ","407-3496336-2833967","Order Cancellation Charge","0","0","-38.23","0","-38.23"
"26/11/2024","Released","Amazon Easy Ship Charges","406-7983218-1804336","Billing","0","0","-90.86","0","-90.86"
"26/11/2024","Released","Order Payment","408-4979183-9995522","Metal Laser Light with 4 Images - 3D Las...","193.22","0","-28.93","33.81","198.1"
"26/11/2024","Released","Order Payment","404-8815430-8683515","Flying Ball Flyorb Magic Balls - Fly Orb...","457.63","0","-95.93","80.08","441.78"
"25/11/2024","Released","Cancellation ","408-5046596-2556365","Order Cancellation Charge","0","0","0","0","0"
"25/11/2024","Released","Order Payment","406-7983218-1804336","Stainless Steel 6 Metallic Intellectual ...","233.05","0","-39.83","40.78","234"
"23/11/2024","Released","Debt Adjustment","20084263983-202411231447","Cross-Account Debt Adjustment","0","0","0","-183.99","-183.99"
"23/11/2024","Released","Order Payment","407-2095994-4917151","Metal Laser Light with 4 Images - 3D Las...","203.39","0","-30.21","35.59","208.77"
"22/11/2024","Released","Refund","404-5179407-6783557","3 Pcs. LED Light Colorful Glitter Balls/...","-245.76","0","27.73","-43.01","-261.04"
"22/11/2024","Released","Order Payment","404-5179407-6783557","3 Pcs. LED Light Colorful Glitter Balls/...","245.76","0","-27.73","43.01","261.04"
"21/11/2024","Released","Refund","408-2114315-7536326","Flying Ball Flyorb Magic Balls - Fly Orb...","-457.63","0","95.93","-80.08","-441.78"
"21/11/2024","Released","Order Payment","408-2114315-7536326","Flying Ball Flyorb Magic Balls - Fly Orb...","457.63","0","-95.93","80.08","441.78"
"21/11/2024","Released","Amazon Easy Ship Charges","408-5877974-1188310","Weight Handling Fees Reversal","0","0","66.08","0","66.08"
"19/11/2024","Released","Amazon Easy Ship Charges","404-5179407-6783557","Billing","0","0","-90.86","0","-90.86"
"19/11/2024","Released","Refund","402-8793560-3035550","Cloth Clip -20 Pieces. Household Gadgets","-203.39","0","20.3","-35.59","-218.68"
"19/11/2024","Released","Order Payment","402-8793560-3035550","Cloth Clip -20 Pieces. Household Gadgets","203.39","0","-20.3","35.59","218.68"
"16/11/2024","Released","Amazon Easy Ship Charges","403-5394077-9533161","Billing","0","0","-66.08","0","-66.08"
"16/11/2024","Released","Order Payment","403-5394077-9533161","PepaPiggy Climbing & Moving Toy, with Mu...","457.63","0","-95.93","80.08","441.78"
"14/11/2024","Released","Amazon Easy Ship Charges","408-3532855-2932324","Billing","0","0","-90.86","0","-90.86"
"14/11/2024","Released","Amazon Easy Ship Charges","408-2114315-7536326","Billing","0","0","-120.36","0","-120.36"
"14/11/2024","Released","Order Payment","408-3532855-2932324","Metal Laser Light with 4 Images - 3D Las...","203.39","0","-30.21","35.59","208.77"
"12/11/2024","Released","Amazon Easy Ship Charges","402-8793560-3035550","Billing","0","0","-90.86","0","-90.86"
"12/11/2024","Released","Amazon Easy Ship Charges","171-4359910-5475534","Billing","0","0","-90.86","0","-90.86"
"11/11/2024","Released","Order Payment","408-3290242-9918723","Metal Laser Light with 4 Images - 3D Las...","0","0","0","0","0"
"11/11/2024","Released","Amazon Easy Ship Charges","404-5179407-6783557","Weight Handling Fees Reversal","0","0","90.86","0","90.86"
"9/11/2024","Released","Amazon Easy Ship Charges","408-2114315-7536326","Weight Handling Fees Reversal","0","0","120.36","0","120.36"
"9/11/2024","Released","Order Payment","171-4359910-5475534","Metal Laser Light with 4 Images - 3D Las...","203.39","0","-30.21","35.59","208.77"
"7/11/2024","Released","Service Fees","---","Subscription:","0","0","0","0","0"
"4/11/2024","Released","Amazon Easy Ship Charges","407-2870406-3819524","Billing","0","0","-66.08","0","-66.08"
"4/11/2024","Released","Amazon Easy Ship Charges","407-8178970-7945161","Billing","0","0","-66.08","0","-66.08"
"4/11/2024","Released","Order Payment","407-2870406-3819524","Die cast Construction Vehicles 5 in 1 JC...","450","0","-61.07","0","388.93"
"4/11/2024","Released","Refund","407-8178970-7945161","Friction Power Trucks for Kids, Bedazzle...","-233.05","0","-42.77","-40.78","-316.6"
"4/11/2024","Released","Order Payment","407-8178970-7945161","Friction Power Trucks for Kids, Bedazzle...","233.05","0","-39.83","40.78","234"
"3/11/2024","Released","Amazon Easy Ship Charges","402-3453401-5264369","Billing","0","0","-120.36","0","-120.36"
"3/11/2024","Released","Order Payment","402-3453401-5264369","Car Toys for Boys, 360° Rotating Stunt C...","580","0","-100.42","0","479.58"
"2/11/2024","Released","Amazon Easy Ship Charges","408-0416510-6958742","Billing","0","0","-118","0","-118"
"2/11/2024","Released","Amazon Easy Ship Charges","402-8975143-0807541","Billing","0","0","-90.86","0","-90.86"
"2/11/2024","Released","Refund","402-8975143-0807541","Cloth Clip -20 Pieces. Household Gadgets","-165.25","0","17.38","-28.92","-176.79"
"2/11/2024","Released","Order Payment","402-8975143-0807541","Cloth Clip -20 Pieces. Household Gadgets","165.25","0","-17.38","28.92","176.79"
"1/11/2024","Released","Refund","408-0416510-6958742","Decorative Hand made Table Lamp with sha...","-610.17","0","38","-106.78","-678.95"
"1/11/2024","Released","Order Payment","408-0416510-6958742","Decorative Hand made Table Lamp with sha...","610.17","0","-150.1","106.78","566.85"
"31/10/2024","Released","Amazon Easy Ship Charges","406-4385966-7427560","Billing","0","0","-120.36","0","-120.36"
"31/10/2024","Released","Amazon Easy Ship Charges","402-8975143-0807541","Weight Handling Fees Reversal","0","0","90.86","0","90.86"
"30/10/2024","Released","Amazon Easy Ship Charges","405-3312961-0973925","Billing","0","0","-66.08","0","-66.08"
"30/10/2024","Released","Order Payment","406-4385966-7427560","Flying Ball Flyorb Magic Balls Fly Orb F...","457.63","0","-95.93","80.08","441.78"
"30/10/2024","Released","Refund","402-1023081-4697953","Helicopters Friction Powered Helicopters...","-203.39","0","30.21","-35.59","-208.77"
"30/10/2024","Released","Order Payment","402-1023081-4697953","Helicopters Friction Powered Helicopters...","203.39","0","-30.21","35.59","208.77"
"30/10/2024","Released","Amazon Easy Ship Charges","402-8793560-3035550","Weight Handling Fees Reversal","0","0","90.86","0","90.86"
"30/10/2024","Released","Refund","402-1716631-3196318","Exxelo Flying Ball Flyorb Magic Balls Fl...","-457.63","0","95.93","-80.08","-441.78"
"30/10/2024","Released","Refund","404-8821668-6020352","Science Project Kit Learning Circuit wit...","-250","0","31.27","0","-218.73"
"30/10/2024","Released","Order Payment","402-1716631-3196318","Exxelo Flying Ball Flyorb Magic Balls Fl...","457.63","0","-95.93","80.08","441.78"
"30/10/2024","Released","Order Payment","404-8821668-6020352","Science Project Kit Learning Circuit wit...","250","0","-31.27","0","218.73"
"30/10/2024","Released","Order Payment","405-3312961-0973925","Press and Go Fish Toy for Kids - Walking...","228.81","0","-39.29","40.05","229.57"
"28/10/2024","Released","Amazon Easy Ship Charges","402-9527142-6098740","Billing","0","0","-120.36","0","-120.36"
"28/10/2024","Released","Amazon Easy Ship Charges","402-3400834-4768353","Billing","0","0","-159.3","0","-159.3"
"27/10/2024","Released","Debt Adjustment","20084263983-202410271445","Cross-Account Debt Adjustment","0","0","0","-184.86","-184.86"
"27/10/2024","Released","Refund","402-9527142-6098740","Brachiosaurus Dinosaur Toy for Kids - 2 ...","-495.76","0","-11.12","-86.76","-593.64"
"27/10/2024","Released","Order Payment","402-9527142-6098740","Brachiosaurus Dinosaur Toy for Kids - 2 ...","495.76","0","-100.98","86.76","481.54"
"27/10/2024","Released","Order Payment","404-5960140-0904358","Outdoor and Indoor Flying Helicopter wit...","500","0","-101.54","87.5","485.96"
"26/10/2024","Released","Order Payment","171-5468125-4798724","Outdoor and Indoor Flying Helicopter wit...","500","0","-101.54","87.5","485.96"
"26/10/2024","Released","Refund","171-5468125-4798724","Outdoor and Indoor Flying Helicopter wit...","-500","0","101.54","-87.5","-485.96"
"26/10/2024","Released","Order Payment","402-3400834-4768353","Outdoor and Indoor Flying Helicopter wit...","500","0","-101.54","87.5","485.96"
"25/10/2024","Released","Amazon Easy Ship Charges","404-8821668-6020352","Billing","0","0","-66.08","0","-66.08"
"25/10/2024","Released","Amazon Easy Ship Charges","404-5960140-0904358","Billing","0","0","-118","0","-118"
"25/10/2024","Released","Amazon Easy Ship Charges","402-1716631-3196318","Billing","0","0","-120.36","0","-120.36"
"25/10/2024","Released","Amazon Easy Ship Charges","403-7356823-5250766","Billing","0","0","-120.36","0","-120.36"
"24/10/2024","Released","Amazon Easy Ship Charges","402-1023081-4697953","Billing","0","0","-90.86","0","-90.86"
"24/10/2024","Released","Amazon Easy Ship Charges","171-5468125-4798724","Billing","0","0","-159.3","0","-159.3"
"23/10/2024","Released","Amazon Easy Ship Charges","171-5468125-4798724","Weight Handling Fees Reversal","0","0","159.3","0","159.3"
"23/10/2024","Released","Amazon Easy Ship Charges","402-1023081-4697953","Weight Handling Fees Reversal","0","0","90.86","0","90.86"
"23/10/2024","Released","Amazon Easy Ship Charges","402-1716631-3196318","Weight Handling Fees Reversal","0","0","120.36","0","120.36"
"23/10/2024","Released","Amazon Easy Ship Charges","404-8821668-6020352","Weight Handling Fees Reversal","0","0","66.08","0","66.08"
"21/10/2024","Released","Amazon Easy Ship Charges","403-0851384-0482722","Billing","0","0","-120.36","0","-120.36"
"21/10/2024","Released","Order Payment","403-7356823-5250766","Exxelo Flying Ball Flyorb Magic Balls Fl...","457.63","0","-95.93","80.08","441.78"
"20/10/2024","Released","Amazon Easy Ship Charges","408-9763110-7162765","Billing","0","0","-90.86","0","-90.86"
"20/10/2024","Released","Amazon Easy Ship Charges","171-5880786-3632331","Billing","0","0","-120.36","0","-120.36"
"19/10/2024","Released","Order Payment","403-0851384-0482722","Exxelo Flying Ball Flyorb Magic Balls Fl...","457.63","0","-95.93","80.08","441.78"
"19/10/2024","Released","Order Payment","408-9763110-7162765","Metal Spinner Hand Toy for Kids and Adul...","207.63","0","-30.74","36.33","213.22"
"16/10/2024","Released","Amazon Easy Ship Charges","406-1248447-4012308","Billing","0","0","-66.08","0","-66.08"
"16/10/2024","Released","Order Payment","171-5880786-3632331","Exxelo Flying Ball Flyorb Magic Balls Fl...","415.25","0","-65.55","72.67","422.37"
"14/10/2024","Released","Amazon Easy Ship Charges","171-3849624-4929918","Billing","0","0","-86.14","0","-86.14"
"14/10/2024","Released","Refund","171-3849624-4929918","Exxelo Flying Ball Flyorb Magic Balls Fl...","-415.25","0","-17.05","-72.67","-504.97"
"14/10/2024","Released","Order Payment","406-1248447-4012308","Metal Spinner Hand Toy for Kids and Adul...","207.63","0","-30.74","36.33","213.22"
"13/10/2024","Released","Debt Adjustment","20084263983-202410131839","Cross-Account Debt Adjustment","0","0","0","-422.37","-422.37"
"13/10/2024","Released","Order Payment","171-3849624-4929918","Exxelo Flying Ball Flyorb Magic Balls Fl...","415.25","0","-65.55","72.67","422.37"
"8/10/2024","Released","Order Payment","408-3599138-6581131","Car Toys for Boys, 360° Rotating Stunt C...","0","0","0","0","0"
"6/10/2024","Released","Unavailable balance","---","Current Reserve Amount ","0","0","0","-218.9","-218.9"
"6/10/2024","Released","Previous statement's unavailable balance","---","Previous Reserve Amount Balance ","0","0","0","218.9","218.9"
"5/10/2024","Released","Service Fees","---","Subscription:","0","0","0","0","0"
"30/9/2024","Released","Order Payment","407-6315182-0594744","Die cast Metal Set of Military Tanks wit...","372.88","0","-59.94","65.26","378.2"
"30/9/2024","Released","Amazon Easy Ship Charges","407-6315182-0594744","Billing","0","0","-159.3","0","-159.3"
"22/9/2024","Released","Debt Adjustment","20084263983-202409221839","Cross-Account Debt Adjustment","0","0","0","-123.4","-123.4"
"22/9/2024","Released","Unavailable balance","---","Current Reserve Amount ","0","0","0","-123.4","-123.4"
"22/9/2024","Released","Previous statement's unavailable balance","---","Previous Reserve Amount Balance ","0","0","0","123.4","123.4"
"21/9/2024","Released","Refund","406-7278737-2978715","Spinner Toys - Metal Spinner Hand Toy fo...","-245","0","30.74","0","-214.26"
"21/9/2024","Released","Amazon Easy Ship Charges","406-7278737-2978715","Weight Handling Fees Reversal","0","0","66.08","0","66.08"
"17/9/2024","Released","Order Payment","406-7278737-2978715","Spinner Toys - Metal Spinner Hand Toy fo...","245","0","-30.74","0","214.26"
"17/9/2024","Released","Order Payment","405-0886863-9391557","Spinner Toys - Metal Spinner Hand Toy fo...","245","0","-30.74","0","214.26"
"17/9/2024","Released","Amazon Easy Ship Charges","406-7278737-2978715","Billing","0","0","-66.08","0","-66.08"
"17/9/2024","Released","Amazon Easy Ship Charges","405-0886863-9391557","Billing","0","0","-90.86","0","-90.86"